item,description
"Axe","A broad chopping axe, as at home splitting wood as splitting shields."
"Bow","A wooden bow that looses arrows at range. Keep your quiver stocked."
"Crossbow","A mechanical bow that fires heavy bolts. Slow to reload, but it hits hard."
"Cudgel","A blunt length of hardwood. Cheap, quiet, and rarely lethal — unless you mean it."
"Dagger","A short, versatile blade — easy to carry, easy to conceal."
"Flail","A spiked head on a chain that swings round shields and past a raised guard."
"Halberd","A long polearm crowned with axe, spike, and hook. Reach and menace both."
"Long Sword","A long, straight blade wielded in two hands. Heavy, but devastating."
"Mace","A heavy flanged head on a short haft, made for caving in armor."
"Sickle","A curved reaping-blade. It cuts grain and throats with equal ease."
"Sling","A leather sling that hurls stones with surprising force. Ammunition lies free underfoot."
"Spear","A simple hafted point. Cheap, deadly, and best kept between you and trouble."
"Staff","A stout walking-staff that doubles as a cudgel at need."
"Sword","A reliable one-handed blade, balanced for cut and thrust."
"War Hammer","A great two-handed hammer that turns armor into a liability."
"Brigandine","A stiff coat lined with riveted metal plates. Heavier protection than plain leather."
"Chainmail","A shirt of interlocking rings. Heavy, but it turns worse than claws."
"Gambeson","A thick quilted coat worn under or in place of mail. Quiet, warm, and proof against a careless knife."
"Helmet","A plain steel helm. Cheap insurance for the most important target."
"Plate","A full harness of shaped steel plates. The best protection coin can buy, and the heaviest."
"Shield","A broad wooden shield banded with iron. Ready to catch what your armor can't."
"Air Bladder","An inflatable animal bladder that keeps a swimmer — or their pack — afloat."
"Animal feed","A sack of fodder to keep a mount or beast fed and willing."
"Antitoxin","A bitter tincture that neutralizes poison and noxious fumes."
"Bandages","Clean linen strips for binding wounds and stanching blood."
"Bathing Goods (Soap, Perfume, etc.)","Soap, perfume, and sundries for getting clean and smelling of more than the road."
"Book","A bound volume of someone's knowledge, faith, or folly."
"Caltrops","A scatter of iron spikes that always land point-up. Cruel to anything on foot."
"Card deck","A deck of playing cards for passing time and parting fools from their coin."
"Chain (10ft)","Ten feet of heavy iron chain, for binding, hauling, or barring a door."
"Chalk","A stick of soft chalk for marking walls, trails, and tallies."
"Chest","A sturdy wooden chest with a lock, for keeping valuables from idle hands."
"Chisel","A steel chisel for shaping stone and wood — or working a stubborn seam."
"Common Agents (Glue, Grease, etc.)","An assortment of everyday substances: glue, grease, and the like."
"Common Tools (Hammer, Shovel, etc.)","The ordinary tools of labor — a hammer, a shovel, and their kin."
"Compass","A simple magnetic compass that always finds north — handy when the road doesn't."
"Complex Instruments (Bagpipes, Fiddle, etc.)","An intricate instrument that rewards a skilled hand — bagpipes, a fiddle, and such."
"Containers (Sack, Waterskin, etc.)","Assorted vessels for carrying goods and drink — sacks, waterskins, and the like."
"Cooking Gear (Pots, Utensils, etc.)","Pots, pans, and utensils for turning raw rations into a proper meal."
"Costume Gear (Face Paint, Disguise)","Paint, wigs, and props for becoming someone you're not."
"Dowsing rod","A forked rod said to twitch toward water — or whatever you most wish to find."
"Expeditionary Gear (Climbing Spikes, Pulley), etc.","Specialist kit for hard country — climbing spikes, a pulley, and the like."
"Fire oil","A flask of clinging, flammable oil. Splash, ignite, and stand well back."
"Fishing rod","A rod, line, and hook for coaxing a meal out of any river or lake."
"Games (Cards, Dice, etc.)","Cards, dice, and small games for wagering away a long night."
"Gloves","A plain pair of gloves against cold, thorns, and rough work."
"Grappling hook","A many-pronged iron hook for catching a ledge and climbing what has no stairs."
"Lantern","A shuttered oil lantern casting steady light, hands free to work or fight."
"Mirror","A polished hand-mirror for signaling, peering round corners, or plain vanity."
"Net","A weighted net for snaring fish, fowl, or a foe who won't hold still."
"Oil Can","A spouted can of lamp oil, for feeding a flame or fouling a floor."
"Outdoor Comfort (Blanket, Hammock, etc.)","The small luxuries of a night outdoors — a blanket, a hammock, and such."
"Parchment","Sheets of prepared parchment for letters, maps, and contracts."
"Pole (10ft)","A ten-foot wooden pole for probing traps, vaulting gaps, and testing footing."
"Rations","Preserved trail food — dry, dense, and enough to keep you going for days."
"Repellent (Wolfsbane, Mugwort, etc.)","Pungent herbs that keep beasts — and worse — at a wary distance."
"Rope (25ft)","Twenty-five feet of strong hemp rope for climbing, binding, or hauling."
"Sedative","A calming draught that dulls pain and slows a racing heart — or drops a target outright."
"Sewing kit","Needle, thread, and pins for mending cloth, sail, or skin at a pinch."
"Simple Instruments (Pipes, Lute, etc.)","A modest musical instrument for earning coin, lifting spirits, or passing a long night."
"Smoking pipe","A well-broken-in pipe. It gives the hands something to do while the mind works."
"Specialized Tools (Ink, etc.)","The particular tools of a trade — a scribe's ink, a surgeon's kit, and such."
"Spiked boots","Iron-cleated boots that bite into ice, timber, and steep ground."
"Spyglass","A collapsing brass glass for spotting trouble — or opportunity — from afar."
"Tent (fits 2)","A canvas tent big enough for two. Bulky to carry, worth it in a downpour."
"Thieving Tools (Lockpick, Metal File, etc.)","The quiet trade's tools — lockpicks, a metal file, and other things best not explained."
"Torch","A pitch-soaked brand that burns bright for an hour — light, and fire when you need it."
"Trap","A concealed spring-trap that snaps shut on whatever triggers it, dealing d6 damage directly to STR."
"Whistle","A shrill whistle for signaling across distance or calling a trained beast."
"Wilderness Clothes (Poncho, Cloak, etc.)","Weatherproof travelling clothes — a poncho, a heavy cloak, and the like."
